url,message,canonical,title,description,og:title,og:site_name,og:description,og:image
"https://afm-telethon.rct01.kleegroup.com/fr","","http://afm-telethon.rct01.kleegroup.com/fr","Page d'accueil | AFM Téléthon","undefined","undefined","undefined","undefined","undefined"
"https://klee:klee@afm-telethon.rct01.kleegroup.com/fr","","http://afm-telethon.rct01.kleegroup.com/fr","Page d'accueil | AFM Téléthon","undefined","undefined","undefined","undefined","undefined"
"https://klee:klee@afm-telethon.rct01.kleegroup.com/fr/loi-du-4-mars-2002-des-avancees-majeures-un-combat-poursuivre","","http://afm-telethon.rct01.kleegroup.com/fr/loi-du-4-mars-2002-des-avancees-majeures-un-combat-poursuivre","Loi du 4 mars 2002 : des avancées majeures, un combat à poursuivre | AFM Téléthon","undefined","AFM Téléthon Loi du 4 mars 2002 : des avancées majeures, un combat à poursuivre","AFM Téléthon","undefined","http://afm-telethon.rct01.kleegroup.com/sites/default/files/media/videos/cutom_thumbnails/4mars%20loi.PNG"
"https://klee:klee@afm-telethon.rct01.kleegroup.com/fr/vlm-fete-son-numero-200","","http://afm-telethon.rct01.kleegroup.com/fr/vlm-fete-son-numero-200","VLM fête son numéro 200 | AFM Téléthon","undefined","AFM Téléthon VLM fête son numéro 200","AFM Téléthon","undefined","http://afm-telethon.rct01.kleegroup.com/sites/default/files/media/images/VLM.jpg"
"https://klee:klee@afm-telethon.rct01.kleegroup.com/fr/vivre-avec-ma-maladie/des-solutions-pour-mon-quotidien/le-repit-prendre-du-temps-pour-soi","","http://afm-telethon.rct01.kleegroup.com/fr/vivre-avec-ma-maladie/des-solutions-pour-mon-quotidien/le-repit-prendre-du-temps-pour-soi","Le répit : prendre du temps pour soi | AFM Téléthon","Se ressourcer pour se préserver Repos, prise de recul, apaisement…, les bienfaits du répit sont indéniables ; s’autoriser à souffler régulièrement permet de mieux faire face à la maladie.","AFM Téléthon Le répit : prendre du temps pour soi","AFM Téléthon","Se ressourcer pour se préserver Repos, prise de recul, apaisement…, les bienfaits du répit sont indéniables ; s’autoriser à souffler régulièrement permet de mieux faire face à la maladie.","undefined"
"https://klee:klee@afm-telethon.rct01.kleegroup.com/fr/lassociation","","http://afm-telethon.rct01.kleegroup.com/fr/lassociation","L'association | AFM Téléthon","L’AFM-Téléthon, c’est le combat de malades et de parents déterminés à vaincre la maladie. Sa stratégie d’intérêt général profite au plus grand nombre.","AFM Téléthon L'association","AFM Téléthon","L’AFM-Téléthon, c’est le combat de malades et de parents déterminés à vaincre la maladie. Sa stratégie d’intérêt général profite au plus grand nombre.","undefined"
"https://klee:klee@afm-telethon.rct01.kleegroup.com/fr/actualites","","http://afm-telethon.rct01.kleegroup.com/fr/actualites","Actualités | AFM Téléthon","Découvrez toutes les actualités de l'AFM Téléthon","AFM Téléthon Actualités","AFM Téléthon","Découvrez toutes les actualités de l'AFM Téléthon","undefined"
"https://klee:klee@afm-telethon.rct01.kleegroup.com/fr/liste-des-maladies","","http://afm-telethon.rct01.kleegroup.com/fr/liste-des-maladies","Liste des maladies | AFM Téléthon","undefined","AFM Téléthon Liste des maladies","AFM Téléthon","undefined","undefined"
"https://klee:klee@afm-telethon.rct01.kleegroup.com/fr/lafm-telethon-en-bref","","http://afm-telethon.rct01.kleegroup.com/fr/lafm-telethon-en-bref","L'AFM-Téléthon en bref | AFM Téléthon","Innover pour guérir : le combat des malades et de leurs familles L’AFM-Téléthon est une association de parents et de malades qui mène un combat sans relâche contre des maladies génétiques, rares et lourdement invalidantes.","AFM Téléthon L'AFM-Téléthon en bref","AFM Téléthon","Innover pour guérir : le combat des malades et de leurs familles L’AFM-Téléthon est une association de parents et de malades qui mène un combat sans relâche contre des maladies génétiques, rares et lourdement invalidantes.","http://afm-telethon.rct01.kleegroup.com/sites/default/files/media/images/bloc-assobref.jpg"
"https://klee:klee@afm-telethon.rct01.kleegroup.com/fr/le-telethon-en-bref","","http://afm-telethon.rct01.kleegroup.com/fr/le-telethon-en-bref","Le Téléthon en bref | AFM Téléthon","Le Téléthon rassemble 5 millions de personnes. Depuis 1987, il donne à l'association l’AFM-Téléthon les moyens de poursuivre son combat contre la maladie.","AFM Téléthon Le Téléthon en bref","AFM Téléthon","Le Téléthon rassemble 5 millions de personnes. Depuis 1987, il donne à l'association l’AFM-Téléthon les moyens de poursuivre son combat contre la maladie.","http://afm-telethon.rct01.kleegroup.com/sites/default/files/media/images/tlt_presentation.jpg"
"https://klee:klee@afm-telethon.rct01.kleegroup.com/fr/myopathie-fsh-stimuler-les-ressources-des-cellules-pour-reduire-dux4-au-silence","","http://afm-telethon.rct01.kleegroup.com/fr/myopathie-fsh-stimuler-les-ressources-des-cellules-pour-reduire-dux4-au-silence","Myopathie FSH : stimuler les ressources des cellules pour réduire DUX4 au silence | AFM Téléthon","undefined","AFM Téléthon Myopathie FSH : stimuler les ressources des cellules pour réduire DUX4 au silence","AFM Téléthon","undefined","http://afm-telethon.rct01.kleegroup.com/sites/default/files/media/images/myopathie.jpeg"
